complex_area,sch_code,sch_name,Enrollment,Staff,ProbableSuffix,URL,
Farrington-Kaiser-Kalani,100,Aina Haina Elem School,405,35,1,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/100SSIR-1.pdf,
Kaimuki-McKinley-Roosevelt,101,Ala Wai Elem School,363,29,1,,
Kaimuki-McKinley-Roosevelt,102,Aliiolani Elem School,238,21,1,,
Kaimuki-McKinley-Roosevelt,103,Anuenue School,502,36,1,,
Kaimuki-McKinley-Roosevelt,104,Central Middle School,336,,1,,
Farrington-Kaiser-Kalani,105,Dole Middle School,547,,1,,
Farrington-Kaiser-Kalani,106,Farrington High School,2339,,1,,
Farrington-Kaiser-Kalani,107,Fern Elem School,384,,1,,
Farrington-Kaiser-Kalani,108,Hahaione Elem School,538,,1,,
Kaimuki-McKinley-Roosevelt,109,Hokulani Elem School,271,,1,,
Kaimuki-McKinley-Roosevelt,110,Jarrett Middle School,266,,1,,
Kaimuki-McKinley-Roosevelt,111,Jefferson Elem School,357,,1,,
Kaimuki-McKinley-Roosevelt,112,Kaahumanu Elem School,415,,1,,
Farrington-Kaiser-Kalani,113,Kaewai Elem School,274,,1,,
Farrington-Kaiser-Kalani,114,Kahala Elem School,339,,1,,
Kaimuki-McKinley-Roosevelt,115,Kaimuki High School,645,,1,,
Farrington-Kaiser-Kalani,116,Kaimuki Middle School,960,,1,,
Kaimuki-McKinley-Roosevelt,117,Kaiulani Elem School,283,,1,,
Farrington-Kaiser-Kalani,118,Kalakaua Middle School,978,,1,,
Farrington-Kaiser-Kalani,119,Kalani High School,1435,,1,,
Farrington-Kaiser-Kalani,120,Kalihi Elem School,182,,1,,
Farrington-Kaiser-Kalani,121,Kalihi-Kai Elem School,527,,1,,
Farrington-Kaiser-Kalani,122,Kalihi-Uka Elem School,244,,1,,
Farrington-Kaiser-Kalani,123,Kalihi-Waena Elem School,482,,1,,
Farrington-Kaiser-Kalani,124,Kapalama Elem School,523,,1,,
Kaimuki-McKinley-Roosevelt,125,Kauluwela Elem School,457,,1,,
Kaimuki-McKinley-Roosevelt,126,Kawananakoa Middle School,606,,1,,
Farrington-Kaiser-Kalani,127,Koko Head Elem School,339,,1,,
Kaimuki-McKinley-Roosevelt,128,Kuhio Elem School,182,,1,,
Kaimuki-McKinley-Roosevelt,129,Lanakila Elem School,348,,1,,
Farrington-Kaiser-Kalani,130,Liholiho Elem School,430,,1,,
Kaimuki-McKinley-Roosevelt,131,Likelike Elem School,275,,1,,
Farrington-Kaiser-Kalani,133,Linapuni Elem School,97,,1,,
Kaimuki-McKinley-Roosevelt,134,Lincoln Elem School,342,32,1,,
Kaimuki-McKinley-Roosevelt,135,Lunalilo Elem School,236,,1,,
Kaimuki-McKinley-Roosevelt,136,Maemae Elem School,658,,1,,
Kaimuki-McKinley-Roosevelt,137,Manoa Elem School,493,,1,,
Kaimuki-McKinley-Roosevelt,138,McKinley High School,1573,,1,,
Farrington-Kaiser-Kalani,139,Niu Valley Middle School,742,,1,,
Kaimuki-McKinley-Roosevelt,140,Noelani Elem School,411,,1,,
Kaimuki-McKinley-Roosevelt,141,Nuuanu Elem School,337,,1,,
Kaimuki-McKinley-Roosevelt,142,Palolo Elem School,267,,1,,
Kaimuki-McKinley-Roosevelt,143,Pauoa Elem School,349,,1,,
Farrington-Kaiser-Kalani,145,Puuhale Elem School,258,,1,,
Kaimuki-McKinley-Roosevelt,146,Roosevelt High School,1441,,1,,
Kaimuki-McKinley-Roosevelt,147,Royal Elem School,312,,1,,
Kaimuki-McKinley-Roosevelt,148,Stevenson Middle School,629,,1,,
Farrington-Kaiser-Kalani,149,Waialae Elem School - PCS,434,,1,,
Farrington-Kaiser-Kalani,150,Waikiki Elem School,541,,1,,
Kaimuki-McKinley-Roosevelt,152,Washington Middle School,593,,1,,
Farrington-Kaiser-Kalani,153,Wilson Elem School,539,,1,,
Farrington-Kaiser-Kalani,154,Kaiser High School,1185,,1,,
Farrington-Kaiser-Kalani,155,Kamiloiki Elem School,377,,1,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/155SSIR-1.pdf,
Aiea-Moanalua-Radford,200,Aiea Elem School,308,26,2,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/200SSIR-2.pdf,
Aiea-Moanalua-Radford,201,Aiea Inter School,462,43,2,,
Aiea-Moanalua-Radford,202,Aiea High School,1008,78,2,,
Aiea-Moanalua-Radford,203,Aliamanu Elem School,621,52,2,,
Aiea-Moanalua-Radford,204,Aliamanu Middle School,694,52,2,,
Leilehua-Mililani-Waialua,206,Haleiwa Elem School,225,,2,,
Leilehua-Mililani-Waialua,207,Inouye Elem School,542,,2,,
Leilehua-Mililani-Waialua,208,Helemano Elem School,469,,2,,
Aiea-Moanalua-Radford,209,Hickam Elem School,456,,2,,
Leilehua-Mililani-Waialua,210,Iliahi Elem School,330,,2,,
Leilehua-Mililani-Waialua,211,Kaala Elem School,411,,2,,
Leilehua-Mililani-Waialua,212,Kipapa Elem School,524,,2,,
Leilehua-Mililani-Waialua,214,Leilehua High School,1591,,2,,
Aiea-Moanalua-Radford,215,Makalapa Elem School,577,,2,,
Leilehua-Mililani-Waialua,216,Mililani High School,2603,,2,,
Aiea-Moanalua-Radford,217,Moanalua Elem School,637,,2,,
Aiea-Moanalua-Radford,218,Moanalua High School,2108,,2,,
Aiea-Moanalua-Radford,219,Moanalua Middle School,674,,2,,
Aiea-Moanalua-Radford,220,Mokulele Elem School,214,,2,,
Aiea-Moanalua-Radford,221,Nimitz Elem School,539,,2,,
Aiea-Moanalua-Radford,222,Pearl Harbor Elem School,446,,2,,
Aiea-Moanalua-Radford,223,Pearl Harbor Kai Elem School,340,,2,,
Aiea-Moanalua-Radford,224,Radford High School,1205,91,2,,
Aiea-Moanalua-Radford,225,Red Hill Elem School,431,,2,,
Leilehua-Mililani-Waialua,226,Solomon Elem School,703,,2,,
Aiea-Moanalua-Radford,227,Scott Elem School,443,,2,,
Aiea-Moanalua-Radford,228,Shafter Elem School,392,,2,,
Leilehua-Mililani-Waialua,229,Wahiawa Elem School,408,,2,,
Leilehua-Mililani-Waialua,230,Wahiawa Middle School,717,,2,,
Leilehua-Mililani-Waialua,231,Waialua Elem School,466,,2,,
Leilehua-Mililani-Waialua,232,Waialua High & Inter School,619,,2,,
Aiea-Moanalua-Radford,233,Waimalu Elem School,365,,2,,
Leilehua-Mililani-Waialua,234,Mililani Waena Elem School,745,,2,,
Aiea-Moanalua-Radford,235,Webling Elem School,438,,2,,
Leilehua-Mililani-Waialua,236,Wheeler Elem School,620,,2,,
Leilehua-Mililani-Waialua,237,Wheeler Middle School,644,,2,,
Leilehua-Mililani-Waialua,238,Mililani Middle School,1585,,2,,
Aiea-Moanalua-Radford,239,Salt Lake Elem School,656,,2,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/239SSIR-2.pdf,
Leilehua-Mililani-Waialua,240,Mililani Ike Elem School,504,,2,,
Leilehua-Mililani-Waialua,241,Mililani Mauka Elem School,691,,2,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/241SSIR-2.pdf,
Leilehua-Mililani-Waialua,242,Mililani Uka Elem School,698,,2,,
Aiea-Moanalua-Radford,243,Pearl Ridge Elem School,435,,2,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/243SSIR-2.pdf,
Pearl City-Waipahu,250,August Ahrens Elem School,1219,,3,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/257SSIR-3.pdf,
Campbell-Kapolei,251,Barbers Point Elem School,503,,3,,
Campbell-Kapolei,252,Campbell High School,3075,,3,,
Campbell-Kapolei,253,Ewa Elem School,1035,,3,,
Campbell-Kapolei,254,Ewa Beach Elem School,764,,3,,
Pearl City-Waipahu,255,Highlands Inter School,755,,3,,
Campbell-Kapolei,256,Iroquois Point Elem School,672,,3,,
Nanakuli-Waianae,257,Maili Elem School,671,,3,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/257SSIR-3.pdf,
Nanakuli-Waianae,258,Makaha Elem School,456,,3,,
Campbell-Kapolei,259,Makakilo Elem School,469,,3,,
Pearl City-Waipahu,260,Manana Elem School,287,,3,,
Nanakuli-Waianae,261,Nanaikapono Elem School,719,,3,,
Nanakuli-Waianae,262,Nanakuli Elem School,363,,3,,
Nanakuli-Waianae,263,Nanakuli High & Inter School,950,,3,,
Pearl City-Waipahu,264,Palisades Elem School,397,,3,,
Pearl City-Waipahu,265,Pearl City Elem School,424,,3,,
Pearl City-Waipahu,266,Pearl City High School,1599,,3,,
Pearl City-Waipahu,267,Pearl City Highlands Elem,530,,3,,
Pearl City-Waipahu,268,Lehua Elem School,233,,3,,
Campbell-Kapolei,269,Pohakea Elem School,452,,3,,
Nanakuli-Waianae,270,Waianae Elem School,448,,3,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/270SSIR-3.pdf,
Nanakuli-Waianae,271,Leihoku Elem School,782,,3,,
Nanakuli-Waianae,272,Waianae High School,1890,,3,,
Nanakuli-Waianae,273,Waianae Inter School,716,,3,,
Pearl City-Waipahu,274,Waipahu Elem School,926,,3,,
Nanakuli-Waianae,275,Kamaile Academy - PCS,919,,3,,
Pearl City-Waipahu,276,Honowai Elem School,626,,3,,
Pearl City-Waipahu,277,Waipahu High School,2797,,3,,
Pearl City-Waipahu,278,Waipahu Inter School,1075,,3,,
Campbell-Kapolei,279,Ilima Inter School,647,,3,,
Campbell-Kapolei,280,Holomua Elem School,1080,,3,,
Campbell-Kapolei,281,Kaimiloa Elem School,665,,3,,
Campbell-Kapolei,282,Kapolei Elem School,717,,3,,
Pearl City-Waipahu,283,Kanoelani Elem School,756,,3,,
Pearl City-Waipahu,285,Momilani Elem School,404,,3,,
Campbell-Kapolei,286,Mauka Lani Elem School,592,,3,,
Pearl City-Waipahu,287,Kaleiopuu Elem School,840,,3,,
Pearl City-Waipahu,288,Waiau Elem School,466,,3,,
Pearl City-Waipahu,290,Waikele Elem School,499,,3,,
Campbell-Kapolei,291,Kapolei Middle School,943,,3,,
Campbell-Kapolei,292,Kapolei High School,2032,,3,,
Campbell-Kapolei,293,Hookele Elem School,779,,3,,
Campbell-Kapolei,294,Keoneula Elem School,901,,3,,
Campbell-Kapolei,296,Ewa Makai Middle School,1254,,3,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/296SSIR-3.pdf,
Campbell-Kapolei,297,Honouliuli Middle School,445,,,,Too new
Kailua-Kalaheo,300,Aikahi Elem School,478,33,4,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/300SSIR-4.pdf,
Castle-Kahuku,301,Castle High School,1116,,4,,
Kailua-Kalaheo,302,Enchanted Lake Elem School,287,,4,,
Castle-Kahuku,303,Hauula Elem School,359,,4,,
Castle-Kahuku,304,Heeia Elem School,373,,4,,
Castle-Kahuku,305,Kaaawa Elem School,115,,4,,
Castle-Kahuku,306,Kahaluu Elem School,254,,4,,
Castle-Kahuku,307,Kahuku High & Inter School,1353,,4,,
Kailua-Kalaheo,308,Kailua Elem School,309,,4,,
Kailua-Kalaheo,309,Kailua High School,796,,4,,
Kailua-Kalaheo,310,Kailua Inter School,739,,4,,
Kailua-Kalaheo,311,Kainalu Elem School,489,,4,,
Kailua-Kalaheo,312,Kalaheo High School,807,,4,,
Castle-Kahuku,313,Kaneohe Elem School,580,,4,,
Castle-Kahuku,314,Puohala Elem School,269,,4,,
Castle-Kahuku,315,Kapunahala Elem School,473,,4,,
Kailua-Kalaheo,317,Keolu Elem School,113,,4,,
Castle-Kahuku,318,King Inter School,525,,4,,
Castle-Kahuku,319,Laie Elem School,622,,4,,
Kailua-Kalaheo,320,Kaohao Public Charter School,323,,4,,
Kailua-Kalaheo,321,Maunawili Elem School,333,,4,,
Kailua-Kalaheo,322,Mokapu Elem School,782,,4,,
Castle-Kahuku,323,Parker Elem School,262,,4,,
Kailua-Kalaheo,324,Pope Elem School,189,,4,,
Castle-Kahuku,325,Sunset Beach Elem School,384,,4,,
Castle-Kahuku,326,Waiahole Elem School,103,,4,,
Kailua-Kalaheo,327,Waimanalo Elem & Inter School,365,,4,,
Kailua-Kalaheo,330,Kaelepulu Elem School,188,,4,,
Castle-Kahuku,331,Kahuku Elem School,330,,4,,
Castle-Kahuku,335,Ahuimanu Elem School,279,26,4,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/335SSIR-4.pdf,
Hilo-Waiakea,351,DeSilva Elem School,461,,5,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/351SSIR-5.pdf,
Hilo-Waiakea,352,Haaheo Elem School,178,,5,,
Kau-Keaau-Pahoa,353,Keaau Elem School,846,,5,,
Kau-Keaau-Pahoa,354,Keaau High School,1093,,5,,
Hilo-Waiakea,355,Hilo High School,1322,,5,,
Hilo-Waiakea,356,Hilo Inter School,523,,5,,
Hilo-Waiakea,357,Hilo Union Elem School,400,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,358,Holualoa Elem School,442,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,359,Honaunau Elem School,139,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,360,Honokaa High & Inter School,629,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,361,Honokaa Elem School,397,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,363,Hookena Elem School,123,,5,,
Hilo-Waiakea,365,Kalanianaole Elem & Inter,274,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,366,Kohala Middle School,157,,5,,
Hilo-Waiakea,367,Kapiolani Elem School,387,,5,,
Kau-Keaau-Pahoa,368,Kau High & Pahala Elem School,551,,5,,
Hilo-Waiakea,369,Kaumana Elem School,233,,5,,
Kau-Keaau-Pahoa,370,Keaau Middle School,701,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,371,Kahakai Elem School,648,,5,,
Hilo-Waiakea,372,Keaukaha Elem School,379,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,373,Kohala High School,274,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,374,Konawaena High School,923,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,375,Konawaena Elem School,534,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,376,Konawaena Middle School,610,,5,,
Hilo-Waiakea,377,Laupahoehoe Community - PCS,333,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,378,Ke Kula O Ehunuikaimalino,267,,5,,
Kau-Keaau-Pahoa,379,Mountain View Elem School,458,,5,,
Kau-Keaau-Pahoa,380,Naalehu Elem School,389,,5,,
Kau-Keaau-Pahoa,381,Pahoa Elem School,363,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,382,Paauilo Elem & Inter School,190,,5,,
Kau-Keaau-Pahoa,383,Pahoa High & Inter School,713,,5,,
Hilo-Waiakea,384,Waiakea Elem School,805,,5,,
Hilo-Waiakea,385,Waiakea Inter School,799,,5,,
Hilo-Waiakea,386,Waiakeawaena Elem School,683,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,387,Waimea Elem School,471,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,388,Kealakehe Elem School,801,,5,,
Hilo-Waiakea,389,Waiakea High School,1266,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,390,Kealakehe Inter School,694,,5,,
Kau-Keaau-Pahoa,391,Keonepoko Elem School,565,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,392,Kealakehe High School,1357,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,393,Waikoloa School,731,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,394,Waimea Middle School - PCS,211,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,395,Kohala Elem School,337,,5,,
Hilo-Waiakea,396,Connections-PCS,366,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,397,Kanu O Ka Aina - PCS,519,,5,,
Kau-Keaau-Pahoa,398,Na Wai Ola - PCS,133,,5,,
Honokaa-Kealakehe-Kohala-Konawaena,399,West Hawaii Explorations -PCS,276,,5,,
Baldwin-Kekaulike-Maui,400,Baldwin High School,1350,,6,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/400SSIR-6.pdf,
Baldwin-Kekaulike-Maui,401,Haiku Elem School,332,,6,,
Hana-Lahainaluna-Lanai-Molokai,402,Hana High & Elem School,382,,6,,
Baldwin-Kekaulike-Maui,404,Iao Inter School,818,,6,,
Baldwin-Kekaulike-Maui,405,Kahului Elem School,835,,6,,
Hana-Lahainaluna-Lanai-Molokai,406,Kamehameha III Elem School,638,,6,,
Hana-Lahainaluna-Lanai-Molokai,407,Kaunakakai Elem School,253,,6,,
Baldwin-Kekaulike-Maui,409,Kihei Elem School,712,,6,,
Hana-Lahainaluna-Lanai-Molokai,410,Kilohana Elem School,79,,6,,
Hana-Lahainaluna-Lanai-Molokai,411,Kualapuu Elem School - PCS,346,,6,,
Baldwin-Kekaulike-Maui,412,Kula Elem School,393,,6,,
Hana-Lahainaluna-Lanai-Molokai,413,Lahaina Inter School,658,,6,,
Hana-Lahainaluna-Lanai-Molokai,414,Lahainaluna High School,1050,,6,,
Hana-Lahainaluna-Lanai-Molokai,415,Lanai High & Elem School,574,,6,,
Baldwin-Kekaulike-Maui,416,Lihikai Elem School,758,,6,,
Baldwin-Kekaulike-Maui,417,Makawao Elem School,522,,6,,
Baldwin-Kekaulike-Maui,418,Maui High School,2058,,6,,
Hana-Lahainaluna-Lanai-Molokai,419,Maunaloa Elem School,46,,6,,
Baldwin-Kekaulike-Maui,420,Kalama Inter School,831,,6,,
Hana-Lahainaluna-Lanai-Molokai,421,Molokai High School,364,,6,,
Baldwin-Kekaulike-Maui,422,Paia Elem School,378,,6,,
Baldwin-Kekaulike-Maui,424,Waihee Elem School,570,,6,,
Baldwin-Kekaulike-Maui,425,Wailuku Elem School,585,,6,,
Baldwin-Kekaulike-Maui,426,Pukalani Elem School,429,,6,,
Baldwin-Kekaulike-Maui,428,Maui Waena Inter School,1140,,6,,
Hana-Lahainaluna-Lanai-Molokai,429,Nahienaena Elem School,656,,6,,
Baldwin-Kekaulike-Maui,430,Lokelani Inter School,454,,6,,
Baldwin-Kekaulike-Maui,431,Kamalii Elem School,403,,6,,
Baldwin-Kekaulike-Maui,433,Pomaikai Elem School,539,,6,,
Hana-Lahainaluna-Lanai-Molokai,434,Molokai Middle School,174,,6,,
Baldwin-Kekaulike-Maui,435,Kekaulike High School,1167,,6,,
Baldwin-Kekaulike-Maui,436,Puu Kukui Elem School,685,,6,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/436SSIR-6.pdf,
Kapaa-Kauai-Waimea,447,Kapaa Middle School,597,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/447SSIR-7.pdf,
Kapaa-Kauai-Waimea,448,Kamakahelei Middle School,829,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/448SSIR-7.pdf,
Kapaa-Kauai-Waimea,451,Eleele Elem School,425,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/451SSIR-7.pdf,
Kapaa-Kauai-Waimea,452,Hanalei Elem School,218,,7,,
Kapaa-Kauai-Waimea,453,Kalaheo Elem School,392,,7,,
Kapaa-Kauai-Waimea,454,Kapaa Elem School,855,,7,,
Kapaa-Kauai-Waimea,455,Kapaa High School,1011,,7,,
Kapaa-Kauai-Waimea,456,Kauai High School,1120,,7,,
Kapaa-Kauai-Waimea,457,Kaumualii Elem School,534,,7,,
Kapaa-Kauai-Waimea,458,Kekaha Elem School,324,,7,,
Kapaa-Kauai-Waimea,459,Kilauea Elem School,271,,7,,
Kapaa-Kauai-Waimea,460,Koloa Elem School,345,,7,,
Kapaa-Kauai-Waimea,461,Niihau High & Elem School,14,,7,,
Kapaa-Kauai-Waimea,462,Waimea High School,758,,7,,
Kapaa-Kauai-Waimea,463,Wilcox Elem School,746,,7,,
Kapaa-Kauai-Waimea,464,Waimea Canyon School,485,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/464SSIR-7.pdf,
Kapaa-Kauai-Waimea,466,Kula Aupuni Niihau - PCS,45,,C,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/466SSIR-C.pdf,
Farrington-Kaiser-Kalani,470,HI School for the Deaf & Blind,46,,1,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/470SSIR-1.pdf,
Kailua-Kalaheo,475,Olomana School,68,,4,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/475SSIR-4.pdf,
Kaimuki-McKinley-Roosevelt,540,Halau Ku Mana - PCS,120,,,,
Kaimuki-McKinley-Roosevelt,541,Voyager - PCS,284,,,,
Kaimuki-McKinley-Roosevelt,543,University Laboratory School,449,,,,
Kaimuki-McKinley-Roosevelt,544,Myron B. Thompson Academy,542,,,,
Nanakuli-Waianae,545,Ka Waihona O Ka Naauao - PCS,632,,,,
Castle-Kahuku,546,Hakipuu Learning Center - PCS,61,,,,
Castle-Kahuku,547,Ke Kula 'o Samuel M. Kamakau,125,,,,
Honokaa-Kealakehe-Kohala-Konawaena,548,Innovations - PCS,241,,,,
Hilo-Waiakea,549,Ke Ana Laahana-PCS,41,,,,
Kailua-Kalaheo,550,Malama Honua - PCS,173,,,,
Pearl City-Waipahu,551,Hawaii Technology Academy-PCS,1363,,,,
Leilehua-Mililani-Waialua,553,Kamalani Academy PCS,166,,,,
Baldwin-Kekaulike-Maui,554,Kihei Charter School,723,,,,
Campbell-Kapolei,555,Kapolei Charter School PCS,161,,,,
Kapaa-Kauai-Waimea,556,Ke Kula Niihau O Kekaha-LPCS,55,,,,
Kau-Keaau-Pahoa,557,Kua O Ka La - NCPCS,148,,,,
Kapaa-Kauai-Waimea,558,Alaka'i O Kaua'i,172,,,,
Kau-Keaau-Pahoa,560,Volcano School of Arts & Sci,266,,,,
Kau-Keaau-Pahoa,561,HI Academy of Arts & Sci - PCS,706,,,,
Hilo-Waiakea,562,Ka Umeke Kaeo - PCS,240,,,,
Kau-Keaau-Pahoa,563,Ke Kula O Nawahiokalani Iki,464,,,,
Kapaa-Kauai-Waimea,564,Kanuikapono - PCS,226,,,,
Kapaa-Kauai-Waimea,565,Kawaikini NCPCS,155,,,,
Honokaa-Kealakehe-Kohala-Konawaena,566,Kona Pacific PCS,210,,,,
Farrington-Kaiser-Kalani,567,SEEQS - PCS,182,,,,
Campbell-Kapolei,568,DreamHouse 'Ewa Beach,287,,,,